new_index,expected_timeline,category_refined,expected_timeline_ko
9918,"details shared with rd for further action,",Uncategorized,"details shared with rd for further action,"
9962,tried to reach him but no response. i will call him again. 18th nov- i called him again and he will send the requirement on mail.,Uncategorized,tried to reach him but no response. i will call him again. 18th nov- i called him again and he will send the requirement on mail.
10014,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
10015,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
10016,connecting for issue,Uncategorized,connecting for issue
10017,didn't pickup the call,Uncategorized,didn't pickup the call
10018,he is comparing with senses which is local brand.,Uncategorized,he is comparing with senses which is local brand.
10019,"due to financial reasons, client have dropped purchase plan. although the details of idb are mailed to client.",Uncategorized,"due to financial reasons, client have dropped purchase plan. although the details of idb are mailed to client."
10020,didn't respond,Uncategorized,didn't respond
10021,didn't respond,Uncategorized,didn't respond
10022,client was inquiring for prices. already quoted by few partners. they even purchased as per recent update but client has not confiermed partner name.,Uncategorized,client was inquiring for prices. already quoted by few partners. they even purchased as per recent update but client has not confiermed partner name.
10023,forwarded to bdo to followup.,Uncategorized,forwarded to bdo to followup.
10024,"details shared, being followed up",Uncategorized,추적 중
10025,repeat enquiry,Uncategorized,repeat enquiry
10026,he needs for home purpose and is a consumer client. spoke and guided on the details and channel. not a b2b requirement.,Uncategorized,he needs for home purpose and is a consumer client. spoke and guided on the details and channel. not a b2b requirement.
10032,budget issue,Uncategorized,예산 문제
10033,already touch with customers,Uncategorized,already touch with customers
10201,dind't respond,Uncategorized,dind't respond
10202,tried to reach several times but no response,Uncategorized,tried to reach several times but no response
10256,tried contact him but couldn't able to connect. lead forwarded to rd,Uncategorized,tried contact him but couldn't able to connect. lead forwarded to rd
10259,he want demo in latur. and also dont have much budget. partner followed up multiple times but no response.,Uncategorized,he want demo in latur. and also dont have much budget. partner followed up multiple times but no response.
10264,"recently no requirement, dropped",Uncategorized,요구 사항 없음
10266,discussed with the client they purchased 65um3df from the channel. unable to track the supplier. hence closing in the system. mail sent to client for our display range.,Uncategorized,discussed with the client they purchased 65um3df from the channel. unable to track the supplier. hence closing in the system. mail sent to client for our display range.
10293,uttarpradesh state lead,Uncategorized,uttarpradesh state lead
10303,"requirement of 75tr3dj –  demo, lead shared with mumbai team.",Uncategorized,"requirement of 75tr3dj –  demo, lead shared with mumbai team."
10358,discussed and shared details with client for digital signage. they are not planning to purchse the same currently hence closing in the system.,Uncategorized,discussed and shared details with client for digital signage. they are not planning to purchse the same currently hence closing in the system.
10363,"concerned person not available, will call later",Uncategorized,"concerned person not available, will call later"
10471,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client.",Uncategorized,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client."
10584,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
12865,tried couple of times but he is not responding. we will try again,Uncategorized,tried couple of times but he is not responding. we will try again
12866,tried couple of times but he is not responding. we will try again,Uncategorized,tried couple of times but he is not responding. we will try again
12872,less then 6 months,6 months ~ 9 months,less then 6 months
12873,less then 6 months,6 months ~ 9 months,less then 6 months
13332,6_months_~_9_months,Uncategorized,6_months_~_9_months
13342,3_months_~_6_months,3 months ~ 6 months,3_months_~_6_months
13344,9_months_~_1_year,9 months ~ 1 year,9_months_~_1_year
13355,more_than_a_year,more than a year,more_than_a_year
13381,more_than_a_year,more than a year,more_than_a_year
13392,6_months_~_9_months,Uncategorized,6_months_~_9_months
13393,6_months_~_9_months,Uncategorized,6_months_~_9_months
13412,more then 3 months,more than a year,more then 3 months
13413,more then 3 months,more than a year,more then 3 months
21019,not interested at the moment,Uncategorized,관심 없음
21739,quotation shared for ultra stretch and 49vl5g. he will check with management and update us,Uncategorized,quotation shared for ultra stretch and 49vl5g. he will check with management and update us
21748,quote shared with him and he will update us after demo,Uncategorized,quote shared with him and he will update us after demo
21838,no requirement,Uncategorized,요구 사항 없음
21844,update- as per customer no enquiry was made.,Uncategorized,update- as per customer no enquiry was made.
21848,"looking for commercial tv 55"". details mailed to client,they have no plans for now to buy hence closing in the system.",Uncategorized,찾고 있음
21971,price shared,Uncategorized,price shared
21972,update---27th aug--customer has to come for product demo,Uncategorized,update---27th aug--customer has to come for product demo
21990,reseller want to have gem authorization.,Uncategorized,reseller want to have gem authorization.
21991,quote send,Uncategorized,quote send
22708,he is looking for interactive display. quote shared with him.,Uncategorized,찾고 있음
22792,customer budget is 1.25+tax for 75 inch idb. i have given our no regret offer and also explained why lg is better and premium. he said he will come back in a day or two.,less than 3 months,customer budget is 1.25+tax for 75 inch idb. i have given our no regret offer and also explained why lg is better and premium. he said he will come back in a day or two.
22795,tried to reach customer but no response. lead forwarded to partner for further follow up,Uncategorized,추적
22856,already in touch with him since long. he has not finalized yet. lead forwarded to rd,Uncategorized,already in touch with him since long. he has not finalized yet. lead forwarded to rd
22892,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
22893,low budget,Uncategorized,low budget
22894,duplicate lead,Uncategorized,중복 리드
22895,exiting customer,Uncategorized,exiting customer
22920,less than 3 months. customer not answered . to call back,less than 3 months,3개월 미만
22921,"drop, wrong number",Uncategorized,"drop, wrong number"
22928,"contact details provided are wrong, sent mail for correct contact details.",Uncategorized,"contact details provided are wrong, sent mail for correct contact details."
22933,"drop, now not intrested",Uncategorized,"drop, now not intrested"
22940,quote shared for 86 inch. he is evaluation local brand of trueview,Uncategorized,quote shared for 86 inch. he is evaluation local brand of trueview
22941,"details shared with customer, also i had shared lead with rd to take it further",Uncategorized,고객과 세부 사항 공유됨
22970,call not connecting,Uncategorized,call not connecting
22971,discussed with the client. he dont have budgets. details mailed. he wont buy now hence closing in the system.,Uncategorized,discussed with the client. he dont have budgets. details mailed. he wont buy now hence closing in the system.
23044,"client is exploring. he will discuss once details sent. details mailed to him. as per recent discussion, he is not exploring as of now.",Uncategorized,"client is exploring. he will discuss once details sent. details mailed to him. as per recent discussion, he is not exploring as of now."
23045,kinnari eletronis vatwa has bid for the same. and they are going to purchase from them.,Uncategorized,kinnari eletronis vatwa has bid for the same. and they are going to purchase from them.
23054,called to know the price of idb,Uncategorized,called to know the price of idb
23055,following up,less than 3 months,following up
23078,"asked to call back later, i had shared this lead with rd to take it further.",less than 3 months,"asked to call back later, i had shared this lead with rd to take it further."
23100,"not answering call, sales remarks: tried to reach him multiple times but he is not responding. request to shailja to reconnect with customer. we are dropping this lead for now.",Uncategorized,전화 응답 안 함
23158,"dicsussed with client,details shared on mail, client have no budgets to buy now hence closing in the system.",Uncategorized,"dicsussed with client,details shared on mail, client have no budgets to buy now hence closing in the system."
23159,update- 8th sept- details shared. will confirm demo schedule of next week.,less than 3 months,update- 8th sept- details shared. will confirm demo schedule of next week.
23170,quotation shared with him for idb. he dont have enough fund as of now. he is just evaluating options.,Uncategorized,quotation shared with him for idb. he dont have enough fund as of now. he is just evaluating options.
23171,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client.",Uncategorized,"the client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client."
23172,demo to be planned,Uncategorized,demo to be planned
23219,purchased viewsonic panel,Uncategorized,purchased viewsonic panel
23220,already working with end user on this requirement.,Uncategorized,already working with end user on this requirement.
23223,"he is requesting demo in aligarh-up, plz share to up person.",Uncategorized,"he is requesting demo in aligarh-up, plz share to up person."
23233,one month,Uncategorized,one month
23236,"purchased some local panel, budget issue",Uncategorized,예산 문제
23241,price shared,Uncategorized,price shared
23255,budget issue,Uncategorized,예산 문제
23256,he has asked to connect next week. he want to see the physical demo.,less than 3 months,he has asked to connect next week. he want to see the physical demo.
23286,price share with customer. our rd is following up with him but customer is not responding,less than 3 months,price share with customer. our rd is following up with him but customer is not responding
23287,provided model and price as per requirement.,Uncategorized,provided model and price as per requirement.
23297,"details shared, to plan demo in december",Uncategorized,"details shared, to plan demo in december"
23324,14th-feb-2022 shared details.awaiting update from customer.,Uncategorized,14th-feb-2022 shared details.awaiting update from customer.
23325,duplicate lead,Uncategorized,중복 리드
23326,"existing case worked by our disti, crew business, hence closing as client is only checking for commercials",Uncategorized,"existing case worked by our disti, crew business, hence closing as client is only checking for commercials"
23333,"drop, already done with partner",Uncategorized,"drop, already done with partner"
23334,no requirement,Uncategorized,요구 사항 없음
23350,mayur electronic connect with client,Uncategorized,mayur electronic connect with client
23358,spoke with shubham who is student. he said he will speak with his sir and revert back after 2 weeks.,less than 3 months,spoke with shubham who is student. he said he will speak with his sir and revert back after 2 weeks.
23360,budget issue,Uncategorized,예산 문제
23918,45 days,less than 3 months,45 days
24187,email send for details. client is exploring on solutions but only for their undertanding.,Uncategorized,email send for details. client is exploring on solutions but only for their undertanding.
24192,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
24194,need to do domestic trade biz,Uncategorized,need to do domestic trade biz
24231,call back tomorrow 28/09,Uncategorized,call back tomorrow 28/09
24240,already touch with customers,Uncategorized,already touch with customers
24244,already purchase with rd,Uncategorized,already purchase with rd
24252,not responding.,Uncategorized,not responding.
24260,september 2022,Uncategorized,september 2022
25024,"we are already in touch with this cutsomer from last 2 years, he has never purchased any product till date. i called him up twice but no reponse.",more than a year,"we are already in touch with this cutsomer from last 2 years, he has never purchased any product till date. i called him up twice but no reponse."
25052,"existing partner, discussed and addressed the concern. the partner had taken pricing and wanted to re-check as the model quoted is changed.",Uncategorized,"existing partner, discussed and addressed the concern. the partner had taken pricing and wanted to re-check as the model quoted is changed."
25053,"drop, requirement of interactive touch screen to supply in govt., conncgt with partner",Uncategorized,"drop, requirement of interactive touch screen to supply in govt., conncgt with partner"
25059,"discussed with client, they were just evaluating the product, they have no plans to buy the same, hence closing in the system.",Uncategorized,"discussed with client, they were just evaluating the product, they have no plans to buy the same, hence closing in the system."
25066,"spoken to partner, have no any requierements for now, have mailed the details to him, he wont purchase any skus for now hence closing in the system.",Uncategorized,"spoken to partner, have no any requierements for now, have mailed the details to him, he wont purchase any skus for now hence closing in the system."
25067,update- 14th sept-- more details to be shared by client,Uncategorized,update- 14th sept-- more details to be shared by client
25068,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
25091,"we were already working here, we are facing challenge as we dont have 49vl5g in stock. order lost in march due to unavailabilty of 49vl5g.",Uncategorized,"we were already working here, we are facing challenge as we dont have 49vl5g in stock. order lost in march due to unavailabilty of 49vl5g."
25093,more_than_a_year,more than a year,more_than_a_year
25106,quote shared with customer. he will revert with an update,Uncategorized,고객에게 견적 공유됨
25117,update-- 4th aug--detailed discussion to be done on 6th aug,Uncategorized,update-- 4th aug--detailed discussion to be done on 6th aug
25528,"discussed with client. they need 24 inch display for digital signage. mentioned for our available sizes, he shall revert.",Uncategorized,"discussed with client. they need 24 inch display for digital signage. mentioned for our available sizes, he shall revert."
25535,the rerquirement is for pune. emailed client looping pune team to meet and visit the client.,Uncategorized,the rerquirement is for pune. emailed client looping pune team to meet and visit the client.
25542,details send quote require,Uncategorized,details send quote require
25548,small size tab required,Uncategorized,small size tab required
25552,the client is looking for small size displays of 20 inch to 25 inch to mount on ref. the budget is 4k to 6k. not exactly our requirement,Uncategorized,찾고 있음
25560,not answering tried several times. details shared with rd.,Uncategorized,not answering tried several times. details shared with rd.
25564,project cancle,Uncategorized,project cancle
25568,want to take retail monitor,Uncategorized,want to take retail monitor
25642,"asked to call back tomorrow, i had shared this enquiry with rd.",less than 3 months,내일 다시 전화 요청함
25670,budget problem,Uncategorized,budget problem
25679,not lifted,Uncategorized,not lifted
25680,not answering call,Uncategorized,전화 응답 안 함
25684,conference/meeting room/collaboration spaces,Uncategorized,conference/meeting room/collaboration spaces
25721,client was exploring on products but he dont have any plans to purchase. currently he have holded on his requirement and will connect if it re-iniitaties.,Uncategorized,client was exploring on products but he dont have any plans to purchase. currently he have holded on his requirement and will connect if it re-iniitaties.
25729,very abrupt customer. said the inquiry was made months ago and was rude enough. closing in the system as the client behaviour has no scope to discuss on requirement. need marketing team to check if the case was received in dec or jan as per client.,Uncategorized,very abrupt customer. said the inquiry was made months ago and was rude enough. closing in the system as the client behaviour has no scope to discuss on requirement. need marketing team to check if the case was received in dec or jan as per client.
25730,require only cms software.,Uncategorized,require only cms software.
25731,details shared follow up under progress.,Uncategorized,추적
25732,fu under progress,Uncategorized,fu under progress
25733,looking for home use,Uncategorized,찾고 있음
25734,already in touch with partner.,Uncategorized,already in touch with partner.
25738,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
25739,meeting date to be finalised,Uncategorized,meeting date to be finalised
25759,phone number not available,Uncategorized,phone number not available
25760,"forwarded to bdo, being followed up",Uncategorized,추적 중
25761,assigned to partner. intial meeting done. will convert to opp post complete info,Uncategorized,assigned to partner. intial meeting done. will convert to opp post complete info
25763,"discussed with partner. he works with cloudwalker and wanted to connect with us for some product details. as of now, dont have any inquiry to work and hence closing in system.",Uncategorized,"discussed with partner. he works with cloudwalker and wanted to connect with us for some product details. as of now, dont have any inquiry to work and hence closing in system."
25767,didn't respond,Uncategorized,didn't respond
25776,update- 9th oct- details shared. will confirm for online demo next week,less than 3 months,update- 9th oct- details shared. will confirm for online demo next week
25777,want to do trade product business,Uncategorized,want to do trade product business
25784,call not picking,Uncategorized,call not picking
25785,requirement is for pune. looped pune team. although the partner is checking prices for an existing case. closing the lead in system as pune team is already working.,Uncategorized,requirement is for pune. looped pune team. although the partner is checking prices for an existing case. closing the lead in system as pune team is already working.
25795,no requirement,Uncategorized,요구 사항 없음
25796,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
25798,forwarded to bdo to followup.,Uncategorized,forwarded to bdo to followup.
25801,customer has been not  answering call,Uncategorized,customer has been not  answering call
25810,asked to contact him after 8th jan.,Uncategorized,asked to contact him after 8th jan.
25813,we have pitched 110 inch fu under prgress,Uncategorized,we have pitched 110 inch fu under prgress
26916,forwarded to aurangabad rd for further process,Uncategorized,forwarded to aurangabad rd for further process
26942,"repeat inquiry, we already knew on the client requirement. we are in touch with them and if any requirement comes, we will udpate. as of now, the transparent led they need is not available with us and the available product cost expectation is very low wit",Uncategorized,"repeat inquiry, we already knew on the client requirement. we are in touch with them and if any requirement comes, we will udpate. as of now, the transparent led they need is not available with us and the available product cost expectation is very low wit"
26954,duplicate lead,Uncategorized,중복 리드
26955,already working on idb will create opp post clarfying on signage,Uncategorized,already working on idb will create opp post clarfying on signage
26956,he is an event organization and looking for rental displays. hence dropping in system.,Uncategorized,찾고 있음
26961,rnr,Uncategorized,rnr
26963,not answering call,Uncategorized,전화 응답 안 함
26964,assigned to partner. intial meeting done. will convert to opp post complete info,Uncategorized,assigned to partner. intial meeting done. will convert to opp post complete info
26965,partner is working on existing requirement. he is connected with our disti's for billing.,Uncategorized,partner is working on existing requirement. he is connected with our disti's for billing.
26973,customer getting price from jaipur which low than our operating price.,Uncategorized,customer getting price from jaipur which low than our operating price.
26974,client is cross checking on prices. its a rc case of subway and the franchisee is trying to get pricing from elsewhere.,Uncategorized,client is cross checking on prices. its a rc case of subway and the franchisee is trying to get pricing from elsewhere.
26975,no response on mails from the client. couldnt find any contact details on net as well. hence dropping in the system. although idb and onequick details shared on email.,Uncategorized,no response on mails from the client. couldnt find any contact details on net as well. hence dropping in the system. although idb and onequick details shared on email.
26976,"busy, call later",Uncategorized,"busy, call later"
27029,will come back once it is required,Uncategorized,will come back once it is required
27032,update--14th sept--customer will discuss in detail tomorrow,Uncategorized,update--14th sept--customer will discuss in detail tomorrow
27083,already connect with partner,Uncategorized,already connect with partner
27085,requirement of 65tr3dj,Uncategorized,requirement of 65tr3dj
27089,"discussed with client, details shared on mail client have no purchase plans for now hence closing the same in system.",Uncategorized,"discussed with client, details shared on mail client have no purchase plans for now hence closing the same in system."
27104,"not picking calls, called many times",Uncategorized,"not picking calls, called many times"
27106,details shared,Uncategorized,details shared
27109,already touch with customer for kiosk requirement,Uncategorized,already touch with customer for kiosk requirement
27110,he want 32 inch tv for signage. details shared with him.,Uncategorized,he want 32 inch tv for signage. details shared with him.
27112,no response,Uncategorized,no response
27118,"under discussion, requirement not dinalised yet",Uncategorized,"under discussion, requirement not dinalised yet"
27136,november 2022,Uncategorized,november 2022
27148,december 2022,Uncategorized,december 2022
27415,less than 5 months,3 months ~ 6 months,less than 5 months
28513,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
28514,communication number not available.,Uncategorized,communication number not available.
28516,discussed with client. details mailed client dont have budget for purchase now hence closing in the system,Uncategorized,discussed with client. details mailed client dont have budget for purchase now hence closing in the system
28521,update--4th aug--customer visiting experience centre on 8th sept,Uncategorized,update--4th aug--customer visiting experience centre on 8th sept
28522,he is looking for consumer product for home,Uncategorized,찾고 있음
28531,need for home segment. they purchased vu 85 inch tv for their home,Uncategorized,need for home segment. they purchased vu 85 inch tv for their home
28532,"call back later, in first week march",less than 3 months,"call back later, in first week march"
28537,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
28556,low budget,Uncategorized,low budget
28576,duplicate lead - il220100042906. discussed with client. their vc hall is under development. onequick details mailed to client. they will call us for demo and purchase finalization once their vc place is ready.,Uncategorized,중복 리드
28577,"customer is busy ask us to call again ,following",less than 3 months,"customer is busy ask us to call again ,following"
28590,update- details already shared with customer. evaluation is on going.,Uncategorized,update- details already shared with customer. evaluation is on going.
28596,dont have budget. he want dot led,Uncategorized,dont have budget. he want dot led
28599,"quotation shared with customer, he will confirm back after discussing with management 09-06-2022- as on today 14-06-2022- not answering call hence  i am dropping this lead. details shred with rd take it for further",less than 3 months,전화 응답 안 함
28606,duplicate lead - il220100042906. less than 3 months,less than 3 months,3개월 미만
28607,we are not going to match technical specification,Uncategorized,we are not going to match technical specification
28616,assigned to partner. intial meeting done. will convert to opp post complete info,Uncategorized,assigned to partner. intial meeting done. will convert to opp post complete info
28879,didn't respond,Uncategorized,didn't respond
28918,requirement of video wall. client is cheking on prices. already 2 partners working. its ongoing case hence clising in system.,Uncategorized,requirement of video wall. client is cheking on prices. already 2 partners working. its ongoing case hence clising in system.
28921,tried to reach several times but no response,Uncategorized,tried to reach several times but no response
29078,looking for not made in china active outdoor led for government project,Uncategorized,찾고 있음
29114,"at present not required,",Uncategorized,필요 없음
29116,already touch with customers,Uncategorized,already touch with customers
29118,"client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client.",Uncategorized,"client is not having any requirement, he was only browsing through the produt hence closig in system. although the details of idb are mailed to client."
30648,4/8 months,6 months ~ 9 months,4/8 months
30668,"discussed with client,details mailed for idb and one quick, they have no plan to buy for now hence closing in the system.",Uncategorized,"discussed with client,details mailed for idb and one quick, they have no plan to buy for now hence closing in the system."
31442,9 months - 1 year,9 months ~ 1 year,9 months - 1 year
31611,14:00~15:00,Uncategorized,14:00~15:00
31917,price shared with customer. he is looking for some idbs. need to take follow up,Uncategorized,고객과 가격 공유됨
31922,require demo after 20 may.,Uncategorized,데모 요청
31925,no requirement,Uncategorized,요구 사항 없음
31927,mailed details & price of 55 inches,Uncategorized,mailed details & price of 55 inches
32107,november 22,Uncategorized,november 22
32239,less than 5 months,3 months ~ 6 months,less than 5 months
32816,couldn't connect,Uncategorized,couldn't connect
32817,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
32945,not responding,Uncategorized,not responding
33141,"asked to call back tomorrow morning, not responding",less than 3 months,내일 다시 전화 요청함
33348,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.,Uncategorized,the client is not having any requirement hence closig in system. although the details of idb are mailed to client.
33535,not required now,Uncategorized,필요 없음
33650,"drop, not intrested",Uncategorized,"drop, not intrested"
33849,he is in discussion internally and will update.,Uncategorized,he is in discussion internally and will update.
33860,no requirement,Uncategorized,요구 사항 없음
34037,didn't respond,Uncategorized,didn't respond
34038,couldn't connect,Uncategorized,couldn't connect
34095,not responding,Uncategorized,not responding
34110,"drop, lookong for consumer product",Uncategorized,"drop, lookong for consumer product"
35582,more_than_a_year,more than a year,more_than_a_year
41858,última revisión: 26/07/21,Uncategorized,última revisión: 26/07/21
52625,no requirement,Uncategorized,요구 사항 없음
52706,quote send,Uncategorized,quote send
53644,asked to share details on mail. he will update if there is any requirement,Uncategorized,asked to share details on mail. he will update if there is any requirement
55032,not required,Uncategorized,필요 없음
56406,the client is not having any requirement he was just browsing for products hence closig in system. although the details of idb and video walls are mailed to client.,Uncategorized,the client is not having any requirement he was just browsing for products hence closig in system. although the details of idb and video walls are mailed to client.
56407,rnr,Uncategorized,rnr
57812,"forwarded to bdo, being followed up",Uncategorized,추적 중
57829,"25-nov-2021  no mobile number, sent a mail to customer",Uncategorized,"25-nov-2021  no mobile number, sent a mail to customer"
57831,"details shared, being followed up",Uncategorized,추적 중
58615,quote shared with him.,Uncategorized,quote shared with him.
58616,no response.,Uncategorized,no response.
58617,not responding to calls,Uncategorized,not responding to calls
59154,up to december,Uncategorized,up to december
